id,tsneX,tsneY,pcaX,pcaY,somX,somY,umapX,umapY,aeX,aeY,start,active,color,kcolor2,kcolor3,kcolor4,kcolor5,kcolor6,kcolor7,kcolor8,kcolor20
0,-14.198302140481232,6.047588556499676,-7.260906656397708,-13.95356047812355,68.9655172413793,-33.10344827586207,-27.833698272705078,37.759178161621094,-78.4,-75.2,0,1,black,green,yellow,blue,green,yellow,red,orange,orange
1,-30.727966752931366,-26.173872258850515,-35.047304186687384,32.79486896575848,46.896551724137936,27.58620689655173,-62.351318359375,38.73651885986328,-27.200000000000003,-76.8,1000,1,black,green,green,yellow,red,blue,orange,yellow,black
2,-57.31310065518045,-46.784908095695805,-45.261635152176815,21.154052391660926,52.413793103448285,16.551724137931032,-62.88909149169922,18.23529815673828,38.400000000000006,-19.200000000000003,2000,1,black,green,green,red,yellow,red,teal,red,blue
3,-22.983321165511313,-25.327641576820696,-26.44759293549594,22.383017189523358,44.13793103448276,22.06896551724138,-52.30669403076172,26.186363220214844,-68.8,-30.4,3000,1,black,green,green,yellow,red,blue,orange,yellow,black
4,-17.806920738126315,-32.531324263948036,-41.13685092670219,-8.903113502908056,19.310344827586206,-38.62068965517241,-47.63357162475586,16.029159545898438,-80.0,-19.200000000000003,4000,1,black,green,yellow,blue,green,red,teal,red,red
5,-30.066933657902055,-22.418102269026832,-36.05339732435326,33.0459976365472,41.37931034482759,30.34482758620689,-63.99420928955078,50.25517272949219,24.0,38.400000000000006,5000,1,black,green,green,yellow,red,blue,orange,yellow,black
6,-49.44997338333626,5.387029721804865,-32.91589828156187,16.774926441028512,-2.7586206896551744,13.793103448275858,-60.882102966308594,22.998626708984375,-78.4,52.80000000000001,6000,1,black,green,green,red,yellow,red,teal,green,teal
7,-42.758104475654434,-10.400703491720265,-32.74743394157151,48.559861518334,19.310344827586206,80.0,-70.80554962158203,56.598968505859375,-14.400000000000006,-33.6,7000,1,black,green,green,yellow,red,blue,orange,yellow,black
8,-29.167359445490682,-29.911896894370123,-30.168728855099268,23.725842850876788,57.93103448275863,33.103448275862064,-66.40596008300781,13.580207824707031,16.0,28.799999999999997,8000,1,black,green,green,yellow,red,red,blue,brown,green
9,7.516020631058623,-11.791598226659687,-40.38326516660478,-16.32667990440394,68.9655172413793,-27.586206896551722,-49.11861038208008,47.26496124267578,-44.8,-64.0,9000,1,black,green,yellow,red,yellow,orange,teal,green,brown
10,3.925601248486174,33.253983673642665,-0.5621913328764521,20.715167794367986,-55.172413793103445,80.0,22.625823974609375,-32.033409118652344,-4.799999999999997,14.400000000000006,10000,1,black,green,green,yellow,red,blue,orange,red,brown
11,7.436135604886786,78.62855273080149,71.4506083033757,-3.50212550036629,-80.0,-80.0,43.09107971191406,-78.4280014038086,20.799999999999997,0.0,11000,1,black,blue,blue,green,blue,green,green,blue,green
12,5.877383216025734,72.70768375880922,65.99730736431471,-16.095714651870587,-71.72413793103448,-80.0,40.61505889892578,-74.54431915283203,44.8,-17.6,12000,1,black,blue,blue,green,blue,green,green,blue,green
13,8.226939404481314,65.78850165205719,51.587470102012134,-15.764353452404862,-66.20689655172414,80.0,38.72930908203125,-63.720848083496094,48.0,-3.200000000000003,13000,1,black,blue,blue,green,blue,green,green,blue,green
14,17.18116384462597,18.81105843152784,50.434627713158164,-5.333988632522193,-57.93103448275862,71.72413793103448,19.431991577148438,-4.0228271484375,-1.5999999999999943,14.400000000000006,14000,1,black,blue,blue,green,blue,green,green,blue,purple
15,14.64275289274947,29.972339843540155,54.38242590494684,-2.8091979851189564,-60.689655172413794,35.86206896551724,25.9541015625,-14.205184936523438,-20.799999999999997,28.799999999999997,15000,1,black,blue,blue,green,blue,green,green,blue,purple
16,17.50215549747206,21.51770019151266,54.89153712864504,-6.323270869503077,-41.37931034482759,-44.13793103448276,23.008331298828125,-8.097496032714844,-17.6,25.599999999999994,16000,1,black,blue,blue,green,blue,green,green,blue,purple
17,17.782818133373468,21.605109884549094,56.07660535538574,-4.819654038144321,-46.89655172413793,19.310344827586206,21.92304229736328,-11.492256164550781,12.799999999999997,4.799999999999997,17000,1,black,blue,blue,green,blue,green,green,blue,purple
18,12.88546193533412,78.5183542796187,67.56498697428577,-5.357786964690376,-80.0,-68.9655172413793,43.77564239501953,-65.08831787109375,11.200000000000003,4.799999999999997,18000,1,black,blue,blue,green,blue,green,green,blue,green
19,9.915297056744492,76.41508998623138,67.91613216850911,-9.301843549543364,-80.0,-74.48275862068965,42.871742248535156,-75.25531005859375,8.0,32.0,19000,1,black,blue,blue,green,blue,green,green,blue,green
20,10.254676752195962,77.03286930000135,68.82279685212018,-13.431798734793645,-71.72413793103448,-74.48275862068965,42.88909149169922,-74.95490264892578,44.8,16.0,20000,1,black,blue,blue,green,blue,green,green,blue,green
