id,tsneX,tsneY,pcaX,pcaY,somX,somY,umapX,umapY,aeX,aeY,start,active,color,kcolor2,kcolor3,kcolor4,kcolor5,kcolor6,kcolor7,kcolor8,kcolor20,dbcolor
413,54.74923846295201,-39.11110551610553,24.942144937334163,6.182592097426266,80.0,-59.130434782608695,-61.18356704711914,-3.845458984375,-19.200000000000003,-12.799999999999997,413000,1,black,green,green,blue,purple,blue,teal,red,purple,black
414,42.06898271277207,-40.69685524665159,13.89925932669938,-20.886966164360253,73.04347826086956,-59.130434782608695,-62.520206451416016,-14.366607666015625,-20.799999999999997,-46.4,414000,1,black,green,green,green,yellow,green,teal,red,orange,black
415,-59.374214528926835,66.86464538423942,-16.989270867716847,-11.063426099472395,-45.21739130434783,-66.08695652173913,34.751007080078125,60.48216247558594,-70.4,-6.400000000000006,415000,1,black,blue,blue,yellow,blue,purple,blue,green,black,black
416,-31.379268673758894,52.07494331431235,-34.95581843937473,25.273342623874782,-73.04347826086956,-80.0,56.32933044433594,52.04298400878906,28.799999999999997,72.0,416000,1,black,blue,blue,yellow,blue,yellow,green,teal,brown,black
417,-5.851128288578238,10.635008005613471,-22.70859176964514,-27.1443830779804,-52.173913043478265,66.08695652173913,12.112548828125,-37.02655792236328,-16.0,-33.6,417000,1,black,blue,yellow,red,green,orange,blue,orange,teal,black
418,-42.03940965605745,-27.741870838518338,-5.856333699984262,13.606806345418008,-3.4782608695652186,80.0,66.76243591308594,6.531005859375,-30.4,41.599999999999994,418000,1,black,green,green,blue,red,red,yellow,teal,brown,black
419,65.59827800278464,-33.205059104747406,59.73626917174067,41.49228205274078,80.0,66.08695652173913,-62.629364013671875,1.1069564819335938,22.400000000000006,48.0,419000,1,black,green,green,blue,purple,blue,yellow,red,red,black
420,12.32651510293826,-60.34540011517234,19.917175829868995,32.47979672702226,73.04347826086956,38.26086956521739,-43.75338363647461,37.480491638183594,-16.0,8.0,420000,1,black,green,green,blue,purple,blue,yellow,yellow,black,black
421,17.92321660720704,-78.73447789788268,31.139107398792675,80.0,80.0,-80.0,-60.91632080078125,22.957786560058594,73.6,41.599999999999994,421000,1,black,green,green,blue,purple,blue,yellow,red,red,black
422,2.612500082295668,-55.84091135736225,21.531813594802983,-4.320452966468821,66.08695652173913,-38.26086956521739,-44.13593673706055,2.709686279296875,8.0,11.200000000000003,422000,1,black,green,green,blue,purple,blue,red,yellow,black,black
423,34.083416742107644,-17.086933738330153,-7.869526476246278,31.603330023402847,10.434782608695656,-59.130434782608695,-14.339340209960938,33.50892639160156,-33.6,-48.0,423000,1,black,blue,blue,blue,blue,yellow,green,teal,purple,black
424,54.53942159300422,2.0058211386516405,1.2269639323053383,51.50498024277866,52.17391304347825,-80.0,-22.580463409423828,51.92317199707031,78.4,73.6,424000,1,black,green,blue,blue,blue,yellow,green,teal,red,black
425,54.45518484817248,2.081419046616247,-10.079198112679308,49.969352353834324,24.347826086956516,-66.08695652173913,-21.860301971435547,51.457244873046875,-36.8,-32.0,425000,1,black,blue,blue,blue,blue,yellow,green,teal,red,black
426,-4.317946857944861,31.97464385031357,-42.98991220155778,-31.434804080722074,-73.04347826086956,-66.08695652173913,26.61376953125,-33.92555236816406,38.400000000000006,11.200000000000003,426000,1,black,blue,yellow,red,red,orange,orange,brown,teal,black
427,-19.32611714878118,50.781608594917316,-34.96746577108077,62.570155574146014,-80.0,-80.0,59.175628662109375,50.82630920410156,-1.5999999999999943,72.0,427000,1,black,blue,blue,yellow,blue,yellow,green,teal,brown,black
428,-27.726162664765823,53.533974937965866,-51.514943492230046,36.266648264992384,-80.0,-73.04347826086956,55.72514343261719,57.37150573730469,3.200000000000003,-3.200000000000003,428000,1,black,blue,blue,yellow,blue,yellow,green,teal,brown,black
429,-41.272823724884915,28.773930632802035,-39.745295607472926,-23.968962585825274,-38.26086956521739,31.304347826086953,53.69071960449219,-19.40182876586914,-62.4,-67.2,429000,1,black,blue,yellow,red,red,orange,orange,brown,blue,black
430,-31.969516585625158,42.68578971608248,-37.01085069194595,7.028028548124482,-31.304347826086953,31.304347826086953,58.65040588378906,17.130859375,-14.400000000000006,-57.6,430000,1,black,blue,yellow,red,red,red,green,teal,brown,black
431,-6.566315858907501,-44.67601500650548,-1.3703612715669067,-28.529101919663375,24.347826086956516,17.391304347826093,-36.40707015991211,-45.01546859741211,3.200000000000003,-80.0,431000,1,black,green,yellow,green,green,purple,red,yellow,orange,black
432,-44.58796145833443,37.46160712476404,-27.135897050389225,-29.651534761942365,-80.0,17.391304347826093,52.84059143066406,-43.482669830322266,9.599999999999994,41.599999999999994,432000,1,black,blue,yellow,red,green,purple,blue,orange,yellow,black
433,-16.558255651963044,76.4130083231949,-50.136960324175824,41.56716661151262,3.4782608695652186,-45.21739130434783,40.5498046875,48.6885986328125,20.799999999999997,38.400000000000006,433000,1,black,blue,blue,yellow,blue,yellow,green,green,brown,black
434,33.66865164439747,-74.75369561223152,37.75165347222044,-0.5383412314516534,80.0,-17.391304347826086,-68.27980041503906,-8.704109191894531,36.8,-54.4,434000,1,black,green,green,blue,purple,blue,teal,red,blue,black
435,-22.889155381703326,10.097238412737681,-35.528516772874525,-22.259060904121235,-24.347826086956523,38.26086956521739,31.47503662109375,-56.84896469116211,41.599999999999994,-22.4,435000,1,black,blue,yellow,red,red,orange,orange,brown,green,black
436,-24.283533646805658,61.43112731942915,-42.66727567877412,49.05246545918001,-52.173913043478265,-66.08695652173913,49.72425842285156,69.53268432617188,-11.200000000000003,-9.599999999999994,436000,1,black,blue,blue,yellow,blue,yellow,green,green,brown,black
437,0.16696787257615142,-5.00640703872017,-30.302105243635886,-37.73585682274238,-3.4782608695652186,3.4782608695652186,10.678787231445312,-61.144264221191406,51.19999999999999,33.599999999999994,437000,1,black,blue,yellow,red,green,purple,blue,orange,yellow,black
438,-3.4218095370783885,4.366743423527325,-30.04095845197274,-44.469343998708375,-24.347826086956523,3.4782608695652186,10.177207946777344,-47.7491455078125,-8.0,-67.2,438000,1,black,blue,yellow,red,green,purple,blue,orange,yellow,black
439,6.098981636194068,21.045049285345144,-42.09165173335473,-20.264127497036185,-38.26086956521739,-17.391304347826086,12.738563537597656,-5.735786437988281,-11.200000000000003,-22.4,439000,1,black,blue,yellow,red,green,orange,orange,orange,teal,black
